+10p	11.12239
+10p	11.09092
+10p	11.05954
+10p	11.02825
+10p	10.99706
+10p	10.96596
+10p	10.93496
+10p	10.90405
+10p	10.87324
+10p	10.84253
+10p	10.81191
+10p	10.78140
+10p	10.75099
+10p	10.72068
+10p	10.69048
+10p	10.66037
+10p	10.63038
+10p	10.60048
+10p	10.57070
+10p	10.54102
+10p	10.51145
+10p	10.48198
+10p	10.45263
+10p	10.42338
+10p	10.39425
+10p	10.36523
+10p	10.33631
+10p	10.30751
+10p	10.27882
+10p	10.25025
+10p	10.22179
+10p	10.19344
+10p	10.16520
+10p	10.13708
+10p	10.10908
+10p	10.08119
+10p	10.05342
+10p	10.02576
+10p	9.99822
+10p	9.97080
+10p	9.94350
+10p	9.91631
+10p	9.88924
+10p	9.86229
+10p	9.83546
+10p	9.80874
+10p	9.78215
+10p	9.75567
+10p	9.72931
+10p	9.70308
+10p	9.67696
+10p	9.65096
+10p	9.62509
+10p	9.59933
+10p	9.57369
+10p	9.54818
+10p	9.52278
+10p	9.49751
+10p	9.47236
+10p	9.44732
+10p	9.42241
+10p	9.39762
+10p	9.37295
+10p	9.34840
+10p	9.32397
+10p	9.29967
+10p	9.27548
+10p	9.25141
+10p	9.22747
+10p	9.20365
+10p	9.17995
+10p	9.15637
+10p	9.13291
+10p	9.10957
+10p	9.08635
+10p	9.06325
+10p	9.04027
+10p	9.01742
+10p	8.99468
+10p	8.97207
+10p	8.94957
+10p	8.92719
+10p	8.90494
+10p	8.88280
+10p	8.86079
+10p	8.83889
+10p	8.81711
+10p	8.79546
+10p	8.77392
+10p	8.75250
+10p	8.73120
+10p	8.71001
+10p	8.68895
+10p	8.66800
+10p	8.64718
+10p	8.62647
+10p	8.60587
+10p	8.58540
+10p	8.56504
+10p	8.54480
+10p	8.52468
+10p	8.50467
+10p	8.48478
+10p	8.46500
+10p	8.44534
+10p	8.42580
+10p	8.40637
+10p	8.38705
+10p	8.36785
+10p	8.34877
+10p	8.32980
+10p	8.31094
+10p	8.29220
+10p	8.27357
+10p	8.25505
+10p	8.23665
+10p	8.21836
+10p	8.20018
+10p	8.18211
+10p	8.16416
+10p	8.14631
+10p	8.12858
+10p	8.11096
+10p	8.09345
+10p	8.07605
+10p	8.05876
+10p	8.04157
+10p	8.02450
+10p	8.00754
+10p	7.99068
+10p	7.97394
+10p	7.95730
+10p	7.94077
+10p	7.92434
+10p	7.90803
+10p	7.89182
+10p	7.87572
+10p	7.85972
+10p	7.84383
+10p	7.82804
+10p	7.81236
+10p	7.79678
+10p	7.78131
+10p	7.76594
+10p	7.75068
+10p	7.73552
+10p	7.72046
+10p	7.70550
+10p	7.69065
+10p	7.67590
+10p	7.66125
+10p	7.64670
+10p	7.63225
+10p	7.61791
+10p	7.60366
+10p	7.58951
+10p	7.57547
+10p	7.56152
+10p	7.54767
+10p	7.53392
+10p	7.52026
+10p	7.50671
+10p	7.49325
+10p	7.47989
+10p	7.46663
+10p	7.45346
+10p	7.44038
+10p	7.42741
+10p	7.41453
+10p	7.40174
+10p	7.38905
+10p	7.37645
+10p	7.36395
+10p	7.35153
+10p	7.33922
+10p	7.32699
+10p	7.31486
+10p	7.30282
+10p	7.29087
+10p	7.27901
+10p	7.26724
+10p	7.25557
+10p	7.24398
+10p	7.23248
+10p	7.22107
+10p	7.20976
+10p	7.19853
+10p	7.18738
+10p	7.17633
+10p	7.16536
+10p	7.15448
+10p	7.14369
+10p	7.13299
+10p	7.12237
+10p	7.11183
+10p	7.10139
+10p	7.09102
+10p	7.08075
+10p	7.07055
+10p	7.06044
+10p	7.05041
+10p	7.04047
+10p	7.03061
+10p	7.02083
+10p	7.01114
+10p	7.00152
+10p	6.99199
+10p	6.98254
+10p	6.97317
+10p	6.96388
+10p	6.95467
+10p	6.94554
+10p	6.93649
+10p	6.92752
+10p	6.91863
+10p	6.90981
+10p	6.90108
+10p	6.89242
+10p	6.88384
+10p	6.87533
+10p	6.86690
+10p	6.85855
+10p	6.85027
+10p	6.84207
+10p	6.83395
+10p	6.82590
+10p	6.81792
+10p	6.81002
+10p	6.80219
+10p	6.79444
+10p	6.78676
+10p	6.77915
+10p	6.77161
+10p	6.76415
+10p	6.75676
+10p	6.74943
+10p	6.74219
+10p	6.73501
+10p	6.72790
+10p	6.72086
+10p	6.71389
+10p	6.70699
+10p	6.70016
+10p	6.69340
+10p	6.68671
+10p	6.68008
+10p	6.67353
+10p	6.66704
+10p	6.66061
+10p	6.65426
+10p	6.64797
+10p	6.64175
+10p	6.63559
+10p	6.62950
+10p	6.62347
+10p	6.61751
+10p	6.61162
+10p	6.60578
+10p	6.60001
+10p	6.59431
+10p	6.58867
+10p	6.58309
+10p	6.57757
+10p	6.57212
+10p	6.56673
+10p	6.56140
+10p	6.55613
+10p	6.55092
+10p	6.54578
+10p	6.54069
+10p	6.53567
+10p	6.53070
+10p	6.52580
+10p	6.52095
+10p	6.51616
+10p	6.51143
+10p	6.50676
+10p	6.50215
+10p	6.49760
+10p	6.49310
+10p	6.48866
+10p	6.48428
+10p	6.47995
+10p	6.47568
+10p	6.47147
+10p	6.46731
+10p	6.46321
+10p	6.45916
+10p	6.45516
+10p	6.45123
+10p	6.44734
+10p	6.44351
